22:50:06.54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
22:50:06.69 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.16 with PID 1128 (E:\Springboot -- Engineering Digest\E2EE JournalApp\target\classes started by suhaib in E:\Springboot -- Engineering Digest\E2EE JournalApp)
22:50:06.70 [main] INFO  n.e.journalApp.JournalApplication - The following 1 profile is active: "dev"
22:50:08.88 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
22:50:09.04 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 138 ms. Found 2 MongoDB repository interfaces.
22:50:10.49 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
22:50:10.52 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
22:50:10.52 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22:50:10.52 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.43]
22:50:10.69 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
22:50:10.70 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3815 ms
22:50:11.58 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/17.0.16+8"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='sobi7', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@49edcb30, com.mongodb.Jep395RecordCodecProvider@59303963, com.mongodb.KotlinCodecProvider@61e86192]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.ar8adhd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-qt3wup-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
22:50:11.59 [cluster-ClusterId{value='68bc74535b1c8bbb5424fd0b', description='Cluster0'}-srv-cluster0.ar8adhd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-shkgnry-shard-00-01.ar8adhd.mongodb.net:27017 to client view of cluster
22:50:11.67 [cluster-ClusterId{value='68bc74535b1c8bbb5424fd0b', description='Cluster0'}-srv-cluster0.ar8adhd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-shkgnry-shard-00-00.ar8adhd.mongodb.net:27017 to client view of cluster
22:50:11.68 [cluster-ClusterId{value='68bc74535b1c8bbb5424fd0b', description='Cluster0'}-srv-cluster0.ar8adhd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-shkgnry-shard-00-02.ar8adhd.mongodb.net:27017 to client view of cluster
